Name,Smiles
MS8815 linker 7,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCOCCOCCOCCC(NC(C(C)(C)C)C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 8,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCOCCOCCOCCOCCC(NC(C(C)(C)C)C(N6C[C@@H](O)C[C@@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 9,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(COCCO[C]COCCOCCOCC(NC(C(C)(C)C)C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 10,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCOCCOCCOCCOCCOCCC(NC(C(C)(C)C)C(N6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 11,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCC(NC(C(C)(C)C)C(N6C[C@@H](O)C[C@@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 12,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCCC(NC(C(C)(C)C)C(C6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 13,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCCCC(NC(C(C)(C)C)C(N6C[C@@H](O)C[C@@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 14,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCCCCC(NC(C(C)(C)C)C(C6[C@H](C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)C[C@@H](O)C6)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
MS8815 linker 15,CC1=CC(C)=C(CNC(C2=C(C)C(N(C3CCOCC3)CC)=CC(C4=CC=C(CN5CCN(C(CCCCCCC(NC(C(C)(C)C)C(C6C[C@@H](O)C[C@@H]6C(NCC7=CC=C(C8=C(C)N=CS8)C=C7)=O)=O)=O)=O)CC5)C=C4)=C2)=O)C(N1)=O
VH032,CC(N=CS1)=C1C2=CC=C(CNC([C@@H]3C[C@@H](O)CN3C([C@H](C(C)(C)C)NC(C)=O)=O)=O)C=C2
Thalidomide,O=C1N(C2CCC(NC2=O)=O)C(C3=CC=CC=C31)=O
JQ1,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C
Mirdametinib,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOCC(CO)O
Palbociclib,CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N4CCNCC4)N=C2N(C5CCCC5)C1=O
IACS-9571,O=S(C1=CC=C(OC)C(OC)=C1)(NC2=C(OC3=CC(OCCC)=CC(OCCCCN(C)C)=C3)C=C(N4C)C(N(C)C4=O)=C2)=O
Tazmetostat,O=C(C1=CC(C2=CC=C(CN3CCOCC3)C=C2)=CC(N(CC)C4CCOCC4)=C1C)NCC5=C(C)C=C(C)NC5=O
